CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
101001115421,06/24/2014 11:47:32 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,42 Ashford St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2104,A,42 Ashford St,02134,42.35476,-71.1273,Constituent Call
101001115399,06/24/2014 08:51:55 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,INTERSECTION of Dorchester Ave & Silver St  South Boston  MA  ,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 6,601,,INTERSECTION Dorchester Ave & Silver St,,42.34648,-71.07027,Self Service
101001115135,06/24/2014 03:06:47 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,200 N Beacon St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2206,C,200 N Beacon St,02135,42.3557,-71.14817,Constituent Call
101001115015,06/24/2014 01:14:48 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,107 Rutherford Ave  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,Ward 2,201,R3,107 Rutherford Ave,02129,42.37382,-71.06466,Constituent Call
101001114920,06/24/2014 11:59:15 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,30-32 Elmira St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2206,R2,30-32 Elmira St,02135,42.353113,-71.149317,Constituent Call
101001114907,06/24/2014 11:49:27 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,30 Shepard St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2203,R1,30 Shepard St,02135,42.34681,-71.15046,Constituent Call
101001114902,06/24/2014 11:46:25 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD, ,, ,, , ,, ,, ,,,42.3594,-71.0587,Constituent Call
101001114742,06/24/2014 10:20:32 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,189 Sherrin St  Hyde Park  MA  02136,12,08,5,E18,Hyde Park,10,Ward 18,1822,R1,189 Sherrin St,02136,42.26512,-71.12627,Constituent Call
101001114657,06/24/2014 09:31:37 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,244 Leyden St  East Boston  MA  02128,1,09,1,A7,East Boston,1,Ward 1,113,R2,244 Leyden St,02128,42.38871,-71.00175,Constituent Call
101001114596,06/24/2014 08:57:11 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,44 Wildwood St  Dorchester  MA  02124,8,07,4,B3,Greater Mattapan,9,Ward 14,1405,R2,44 Wildwood St,02124,42.28321,-71.08805,Constituent Call
101001114520,06/24/2014 07:18:00 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,25 Estella St  Mattapan  MA  02126,8,07,4,B3,Greater Mattapan,9,Ward 14,1411,R4,25 Estella St,02126,42.28696,-71.09496,Constituent Call
101001114512,06/24/2014 07:01:53 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,1 Acorn St  Boston  MA  02108,3,1B,8,A1,Beacon Hill,14,Ward 5,503,R2,1 Acorn St,02108,42.35761,-71.06857,Constituent Call
101001114428,06/23/2014 08:01:40 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,50 Park Vale Ave  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2105,A,50 Park Vale Ave,02134,42.35264,-71.13344,Constituent Call
101001114409,06/23/2014 07:22:56 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,350-356 Centre St  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 10,1009,E,350-356 Centre St,02130,42.322179,-71.10724,Self Service
101001114185,06/23/2014 02:59:44 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,8-4 Adella Pl  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,R3,8-4 Adella Pl,02134,42.352506,-71.136263,Constituent Call
